RUN	performance.UserSimulation	usersimulation	1594695790322	 	3.0.2
USER	GET method should return 200	1	START	1594695790616	1594695790616
REQUEST	1		GET /api/users/2	1594695791851	1594695792263	OK	 
USER	GET method should return 200	1	END	1594695790616	1594695792273
USER	GET method should return 200	2	START	1594695792301	1594695792301
REQUEST	2		GET /api/users/2	1594695792333	1594695792637	OK	 
USER	GET method should return 200	2	END	1594695792301	1594695792644
USER	GET method should return 200	3	START	1594695793301	1594695793301
USER	GET method should return 200	4	START	1594695793593	1594695793593
REQUEST	3		GET /api/users/2	1594695793338	1594695793686	OK	 
USER	GET method should return 200	3	END	1594695793301	1594695793688
REQUEST	4		GET /api/users/2	1594695793634	1594695793963	OK	 
USER	GET method should return 200	4	END	1594695793593	1594695793976
USER	GET method should return 200	5	START	1594695794592	1594695794592
REQUEST	5		GET /api/users/2	1594695794632	1594695794914	OK	 
USER	GET method should return 200	5	END	1594695794592	1594695794928
USER	GET method should return 200	6	START	1594695795592	1594695795592
REQUEST	6		GET /api/users/2	1594695795728	1594695796056	OK	 
USER	GET method should return 200	6	END	1594695795592	1594695796059
USER	GET method should return 200	7	START	1594695796592	1594695796592
REQUEST	7		GET /api/users/2	1594695796633	1594695796961	OK	 
USER	GET method should return 200	7	END	1594695796592	1594695796976
USER	GET method should return 200	8	START	1594695797585	1594695797585
REQUEST	8		GET /api/users/2	1594695797626	1594695797919	OK	 
USER	GET method should return 200	8	END	1594695797585	1594695797931
USER	GET method should return 200	9	START	1594695798583	1594695798583
REQUEST	9		GET /api/users/2	1594695798630	1594695798927	OK	 
USER	GET method should return 200	9	END	1594695798583	1594695798935
USER	GET method should return 200	10	START	1594695799591	1594695799591
REQUEST	10		GET /api/users/2	1594695799638	1594695800074	OK	 
USER	GET method should return 200	10	END	1594695799591	1594695800084
